Identifiant de l'élément,Nom base français,Nom base anglais,Nom attribut français,Nom attribut anglais,Nom frontière français,Nom frontière anglais,Code de la catégorie,Tags français,Tags anglais,Unité français,Unité anglais,Source,Date de création,Date de modification,Période de validité,Incertitude,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Commentaire anglais,Total poste non décomposé
41027,Blé de Khorasan,Khorasan wheat,cru,,,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Pâtes, riz et céréales","Agribalyse,pâtes,Blé de Khorasan,riz et céréales","Agribalyse,pâtes,Khorasan wheat,riz et céréales",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,3.0,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Cuisson à l'eau,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Cuisson à l'eau,0.532
42309,Blé de printemps,Spring wheat,association de cultures,from intercrop,"biologique, système numéro 1, à la ferme/FR U","organic, system number 1, at farm gate/FR U",Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Céréales,"Agribalyse,Blé de printemps","Agribalyse,Spring wheat",kgCO2e/kg,kgCO2e/kg,Agribalyse 3.1,2023-03-16,2023-03-16,24/02/2026,,5.0,,4.0,,,,,,,,0.325
42310,Blé de printemps,Spring wheat,association de cultures,from intercrop,"biologique, système numéro 2, à la ferme/FR U","organic, system number 2, at farm gate/FR U",Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Céréales,"Agribalyse,Blé de printemps","Agribalyse,Spring wheat",kgCO2e/kg,kgCO2e/kg,Agribalyse 3.1,2023-03-16,2023-03-16,24/02/2026,,5.0,,4.0,,,,,,,,0.303
42041,Blé dur,Durum wheat grain,conventionnel,conventional,"moyenne nationale, à la ferme/FR U","national average, at farm gate/FR U",Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Céréales,"Agribalyse,Blé dur","Agribalyse,Durum wheat grain",kgCO2e/kg,kgCO2e/kg,Agribalyse 3.1,2023-03-16,2023-03-16,24/02/2026,,5.0,,4.0,,,,,,,,0.731
41028,Blé dur entier,Durum wheat,cru,whole,,raw,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Pâtes, riz et céréales","Agribalyse,pâtes,Blé dur entier,riz et céréales","Agribalyse,pâtes,Durum wheat,riz et céréales",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.7,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,1.16
41029,Blé dur précuit,Wheat,entier,whole,cru,"pre-cooked, raw","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Pâtes, riz et céréales","Agribalyse,pâtes,Blé dur précuit,riz et céréales","Agribalyse,Wheat,pâtes,riz et céréales",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,3.3,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,1.16
39939,Blé dur précuit,Durum wheat pre-cooked,grains entiers,whole grain,"cuisiné,  à poêler","cooked, to pan-fry","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Entrées et plats composés > Plats composés","Agribalyse,Blé dur précuit,plats composés","Agribalyse,Durum wheat pre-cooked,plats composés",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,3.4,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : PP - Préparation : Poêle,Livraison : Ambiant (long) - Matériau d'emballage : PP - Préparation : Poêle,0.516
41030,Blé dur précuit,Durum wheat pre-cooked,grains entiers,whole grain,"cuit, non salé","cooked, unsalted","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Pâtes, riz et céréales","Agribalyse,pâtes,Blé dur précuit,riz et céréales","Agribalyse,pâtes,Durum wheat pre-cooked,riz et céréales",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,3.3,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : PP - Préparation : Cuisson à l'eau,Livraison : Ambiant (long) - Matériau d'emballage : PP - Préparation : Cuisson à l'eau,0.614
39938,Blé dur précuit cuisiné,Durum wheat,en sachet micro-ondable,pre-cooked,,"cooked, in a microwaveable bag","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Entrées et plats composés > Plats composés","Agribalyse,Blé dur précuit cuisiné,plats composés","Agribalyse,Durum wheat,plats composés",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,3.4,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : PP - Préparation : Micro-onde,Livraison : Ambiant (long) - Matériau d'emballage : PP - Préparation : Micro-onde,0.487
42042,Blé tendre,Soft wheat grain,conventionnel,conventional,"améliorant protéine, 15% d'humidité, à la ferme/FR U","protein improved quality, 15% moisture, at farm gate/FR U",Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Céréales,"Agribalyse,Blé tendre","Agribalyse,Soft wheat grain",kgCO2e/kg,kgCO2e/kg,Agribalyse 3.1,2023-03-16,2023-03-16,24/02/2026,,5.0,,4.0,,,,,,,,0.641
42043,Blé tendre,Soft wheat grain,conventionnel,conventional,"moyenne nationale, alimentation animale, à la ferme/FR U","national average, animal feed, at farm gate, production/FR U",Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Céréales,"Agribalyse,Blé tendre","Agribalyse,Soft wheat grain",kgCO2e/kg,kgCO2e/kg,Agribalyse 3.1,2023-03-16,2023-03-16,24/02/2026,,5.0,,4.0,,,,,,,,0.468
42044,Blé tendre,Soft wheat grain,conventionnel,conventional,"panifiable, 15% d'humidité, à la ferme/FR U","breadmaking quality, 15% moisture, at farm gate/FR U",Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Céréales,"Agribalyse,Blé tendre","Agribalyse,Soft wheat grain",kgCO2e/kg,kgCO2e/kg,Agribalyse 3.1,2023-03-16,2023-03-16,24/02/2026,,5.0,,4.0,,,,,,,,0.468
42045,Blé tendre,Soft wheat grain,moyenne à partir de 11 cas d'études optimisés,average from 11 optimized case study,"levier culture intermédiaire systématique du scénario, à la ferme/FR U","scenario systematic cover cropping, at farm gate/FR U",Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Céréales,"Agribalyse,Blé tendre","Agribalyse,Soft wheat grain",kgCO2e/kg,kgCO2e/kg,Agribalyse 3.1,2023-03-16,2023-03-16,24/02/2026,,5.0,,4.0,,,,,,,,0.444
42046,Blé tendre,Soft wheat grain,moyenne à partir de 11 cas d'études optimisés,average from 11 optimized case study,"levier légumineuse dans rotation, à la ferme/FR U","scenario protein crop, at farm gate/FR U",Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Céréales,"Agribalyse,Blé tendre","Agribalyse,Soft wheat grain",kgCO2e/kg,kgCO2e/kg,Agribalyse 3.1,2023-03-16,2023-03-16,24/02/2026,,5.0,,4.0,,,,,,,,0.428
42047,Blé tendre,Soft wheat grain,moyenne à partir de 11 cas d'études optimisés,average from 11 optimized case study,"scénario de base, à la ferme/FR U","basis scenario,at farm gate/FR U",Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Céréales,"Agribalyse,Blé tendre","Agribalyse,Soft wheat grain",kgCO2e/kg,kgCO2e/kg,Agribalyse 3.1,2023-03-16,2023-03-16,24/02/2026,,5.0,,4.0,,,,,,,,0.444
41031,Blé tendre entier ou froment,Wheat,cru,whole,,raw,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Pâtes, riz et céréales","Agribalyse,pâtes,Blé tendre entier ou froment,riz et céréales","Agribalyse,Wheat,pâtes,riz et céréales",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,3.0,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,0.89
40680,Bleu de Gex ou Fromage bleu du Haut-jura ou Bleu de septmoncel (AOC),Gex blue cheese,,or Jura blue cheese or Septmoncel blue cheese,,from cow's milk,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Lait et produits laitiers > Fromages","Agribalyse,Bleu de Gex ou Fromage bleu du Haut-jura ou Bleu de septmoncel (AOC),fromages","Agribalyse,Gex blue cheese,fromages",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.2,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : LDPE - Préparation : Pas de préparation,Livraison : Glacé - Matériau d'emballage : LDPE - Préparation : Pas de préparation,5.56
41032,Blini,Blinis,,,,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Pains et viennoiseries","Agribalyse,Blini,pains et viennoiseries","Agribalyse,Blinis,pains et viennoiseries",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.7,4.0,,,,,,Livraison : Ambiant (court) - Matériau d'emballage : PS - Préparation : Pas de préparation,Livraison : Ambiant (court) - Matériau d'emballage : PS - Préparation : Pas de préparation,1.77
41424,Boeuf,Beef,à bourguignon ou pot-au-feu,stewing meat,cru,raw,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agribalyse,Boeuf,viandes crues","Agribalyse,Beef,viandes crues",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.3,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,27.8
41425,Boeuf,Beef,à bourguignon ou pot-au-feu,stewing meat,cuit,cooked,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes cuites","Agribalyse,Boeuf,viandes cuites","Agribalyse,Beef,viandes cuites",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.3,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four,35.3
41426,Boeuf,Beef,bavette d'aloyau,flank steak,crue,raw,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agribalyse,Boeuf,viandes crues","Agribalyse,Beef,viandes crues",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.3,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,27.8
41427,Boeuf,Beef,bavette d'aloyau,flank steak,grillée/poêlée,grilled/pan-fried,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agribalyse,Boeuf,viandes cuites","Agribalyse,Beef,viandes cuites",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.3,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Poêle,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Poêle,35.3
41428,Boeuf,Beef,boule de macreuse,bolar-blade,crue,raw,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agribalyse,Boeuf,viandes crues","Agribalyse,Beef,viandes crues",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.3,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,27.9
41429,Boeuf,Beef,boule de macreuse,bolar-blade,grillée/poêlée,grilled/pan-fried,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agribalyse,Boeuf,viandes cuites","Agribalyse,Beef,viandes cuites",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.3,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Poêle,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Poêle,35.3
41430,Boeuf,Beef,boule de macreuse,bolar-blade,rôtie/cuite au four,roasted/baked,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes cuites","Agribalyse,Boeuf,viandes cuites","Agribalyse,Beef,viandes cuites",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.3,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four,35.3
41431,Boeuf,Beef,boulettes cuites,meat balls,,cooked,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Autres produits à base de viande","Agribalyse,Boeuf,autres produits à base de viande","Agribalyse,Beef,autres produits à base de viande",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.3,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four,30.9
41432,Boeuf,Beef,braisé,braised,,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agribalyse,Boeuf,viandes cuites","Agribalyse,Beef,viandes cuites",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.3,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four,35.3
41433,Boeuf,Beef,collier,neck,braisé,braised,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agribalyse,Boeuf,viandes cuites","Agribalyse,Beef,viandes cuites",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.3,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four,44.1
41434,Boeuf,Beef,côte,rib,crue,raw,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agribalyse,Boeuf,viandes crues","Agribalyse,Beef,viandes crues",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.0,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,28.0
41435,Boeuf,Beef,entrecôte,rib steak,crue,raw,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agribalyse,Boeuf,viandes crues","Agribalyse,Beef,viandes crues",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.0,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,28.0
41436,Boeuf,Beef,entrecôte,rib steak,"partie maigre, grillée/poêlée","lean, grilled/pan-fried","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agribalyse,Boeuf,viandes cuites","Agribalyse,Beef,viandes cuites",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.1,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Poêle,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Poêle,35.5
41437,Boeuf,Beef,épaule,shoulder,crue,raw,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agribalyse,Boeuf,viandes crues","Agribalyse,Beef,viandes crues",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.3,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,27.8
41438,Boeuf,Beef,faux-filet,sirloin steak,cru,raw,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agribalyse,Boeuf,viandes crues","Agribalyse,Beef,viandes crues",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.3,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,27.8
41439,Boeuf,Beef,faux-filet,sirloin steak,grillé/poêlé,grilled/pan-fried,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agribalyse,Boeuf,viandes cuites","Agribalyse,Beef,viandes cuites",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.3,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Poêle,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Poêle,35.3
41440,Boeuf,Beef,faux-filet,sirloin steak,"label rouge, cru","red label, raw","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agribalyse,Boeuf,viandes crues","Agribalyse,Beef,viandes crues",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.3,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,27.8
41441,Boeuf,Beef,faux-filet,sirloin steak,rôti/cuit au four,roasted/baked,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes cuites","Agribalyse,Boeuf,viandes cuites","Agribalyse,Beef,viandes cuites",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.3,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four,35.3
41442,Boeuf,Beef,gîte à la noix,round,cru,raw,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agribalyse,Boeuf,viandes crues","Agribalyse,Beef,viandes crues",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.3,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,27.8
41443,Boeuf,Beef,gîte à la noix,round,cuit,cooked,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes cuites","Agribalyse,Boeuf,viandes cuites","Agribalyse,Beef,viandes cuites",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.3,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four,35.3
41444,Boeuf,Beef,hampe,thin flank,crue,raw,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agribalyse,Boeuf,viandes crues","Agribalyse,Beef,viandes crues",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.3,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,27.8
41445,Boeuf,Beef,hampe,thin flank,grillée/poêlée,grilled/pan-fried,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agribalyse,Boeuf,viandes cuites","Agribalyse,Beef,viandes cuites",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.3,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Poêle,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Poêle,35.3
41446,Boeuf,Beef,jarret,knuckle,bouilli/cuit à l'eau,boiled/cooked in water,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes cuites","Agribalyse,Boeuf,viandes cuites","Agribalyse,Beef,viandes cuites",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.1,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Cuisson à l'eau,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Cuisson à l'eau,35.6
41447,Boeuf,Beef,jarret,knuckle,cru,raw,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agribalyse,Boeuf,viandes crues","Agribalyse,Beef,viandes crues",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.0,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,28.0
41448,Boeuf,Beef,joue,cheek,braisée ou bouillie,braised or boiled,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agribalyse,Boeuf,viandes cuites","Agribalyse,Beef,viandes cuites",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.1,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Cuisson à l'eau,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Cuisson à l'eau,28.4
41449,Boeuf,Beef,joue,cheek,crue,raw,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agribalyse,Boeuf,viandes crues","Agribalyse,Beef,viandes crues",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.3,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,27.8
42048,Boeuf,Beef cattle,moyenne nationale,national average,à la ferme/FR U,at farm gate/FR U,Achats de biens > Produits de l'agriculture et de la pêche > Produits animaux > Bovins,"Agribalyse,Boeuf","Agribalyse,Beef cattle",kgCO2e/kg de poids vif,kgCO2e/kg (live weight),Agribalyse 3.1,2023-03-16,2023-03-16,24/02/2026,,5.0,,4.0,,,,,,,,13.9
41450,Boeuf,Beef,onglet,hanger steak,cru,raw,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agribalyse,Boeuf,viandes crues","Agribalyse,Beef,viandes crues",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.3,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,27.8
41451,Boeuf,Beef,onglet,hanger steak,grillé,grilled,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agribalyse,Boeuf,viandes cuites","Agribalyse,Beef,viandes cuites",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.3,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four,35.3
41452,Boeuf,Beef,paleron,chuck,braisé ou bouilli,braised or boiled,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agribalyse,Boeuf,viandes cuites","Agribalyse,Beef,viandes cuites",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.3,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Cuisson à l'eau,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Cuisson à l'eau,44.3
41453,Boeuf,Beef,paleron,chuck,cru,raw,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agribalyse,Boeuf,viandes crues","Agribalyse,Beef,viandes crues",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.3,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,34.9
41454,Boeuf,Beef,plat de côtes,short ribs,braisé,braised,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agribalyse,Boeuf,viandes cuites","Agribalyse,Beef,viandes cuites",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.1,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four,35.5
41455,Boeuf,Beef,plat de côtes,short ribs,cru,raw,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agribalyse,Boeuf,viandes crues","Agribalyse,Beef,viandes crues",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.0,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,28.0
